author	affiliation	abstract_id	role	session_id	presenter
Constantin Ruhe	Goethe University Frankfurt, Germany	2035	p	NA	n
Osman Suntay	Goethe University Frankfurt, Germany	2035	p	NA	y
Wooseok Kim	University of Glasgow, United Kingdom	2033	p	NA	y
Isabela Mares	Yale University, USA	2031	p	NA	y
Qixuan Yang	Yale University, USA	2031	p	NA	n
MaryClare Roche	Princeton University, USA	2030	p	NA	y
Katrijn Siderius	Goethe University Frankfurt, Germany	203	p	NA	y
Miquel Pellicer	Marburg University, Germany	2023	p	NA	n
Miquel Pellicer	Marburg University, Germany	2022	p	NA	y
Alba Huidobro	Stanford University, USA	202	p	NA	n
Rikhil Bhavnani	University of Wisconsin-Madison, USA	202	p	NA	y
Soledad Prillaman	Stanford University, USA	202	p	NA	n
Daniel Fernandes	Leiden University, Netherlands	2012	p	NA	y
Joshua Alley	University College Dublin, Ireland	2011	p	NA	n
Layla Picard	University of Virginia, USA	2011	p	NA	n
Philip Potter	University of Virginia, USA	2011	p	NA	y
Rachel Potter	University of Virginia, USA	2010	p	NA	y
Calvin Yu-Ceng Liao	Taiwan Studies Center, National Chengchi University (NCCU), Taiwan	201	p	NA	y
David Yen-Chieh Liao	Post-doctoral Research Fellow, Department of Global Studies, Aarhus University, Denmark	201	p	NA	y
Kristopher Ramsay	Princeton University, USA	2009	p	NA	y
Noam Reich	NYU-AD, UAE	2009	p	NA	n
Hannah Loeffler	Technical University of Munich, Germany	2008	p	NA	y
Amy Pond	Technical University of Munich, Germany	2007	p	NA	n
Hannah Loeffler	Technical University of Munich, Germany	2007	p	NA	y
Sujeong Shim	NYU Abu Dhabi, UAE	2006	p	NA	n
Tim Heinkelmann-Wild	LMU Munich, Germany	2006	p	NA	n
Tom Hunter	University of Zurich, Switzerland	2006	p	NA	y
Amy Pond	Technical University of Munich, Germany	2005	p	NA	y
Lukas Haffert	University of Zurich, Switzerland	2005	p	NA	n
Rommel Tobias	Technical University of Munich, Germany	2005	p	NA	y
Erica Owen	University of Pittsburgh, USA	2001	p	NA	n
Yohan Park	University College Dublin, Ireland	2001	p	NA	y
Yoo Jung	University College Dublin, Ireland	2001	p	NA	y
Antoine Banks	University of Maryland, USA	2	p	NA	n
Eric Groenendyk	University of Memphis, USA	2	p	NA	n
Erik Kimbrough	Chapman University, USA	2	p	NA	n
Ja’na Jackson	Yale University, USA	2	p	NA	n
Mark Pickup	Simon Fraser University, Canada	2	p	NA	y
Shubha Prasad	Hertie School, Germany	1994	p	NA	y
Jeanne Marlier	University of Vienna, Austria	199	p	NA	y
John Ahlquist	UCSD, USA	1988	p	NA	y
Andrej Kokkonen	University of Gothenburg, Sweden	1987	p	NA	n
Florence So	Lund University, Sweden	1987	p	NA	y
Florence So	Lund University, Sweden	1986	p	NA	y
Elin Berlin	University of Maryland, USA	1983	p	NA	y
Angel Saavedra	Bowdoin College, USA	1982	p	NA	y
Paul Lendway	Yale, USA	1982	p	NA	n
Hajo G. Boomgarden	University of Vienna, Austria	1980	p	NA	n
Jakob-Moritz Eberl	University of Vienna, Austria	1980	p	NA	n
Julia Partheymüller	University of Vienna, Austria	1980	p	NA	y
Noelle Lebernegg	University of Vienna, Austria	1980	p	NA	n
Catherine De Vries	Bocconi University, Italy	1975	p	NA	n
Paula Rettl	Bocconi University, Italy	1975	p	NA	y
Sergi Pardos-Prado	University of Glasgow, United Kingdom	1975	p	NA	n
Simone Cremaschi	Bocconi University, Italy	1975	p	NA	n
Marcela Ibáñez	University of Zurich, Switzerland	1974	p	NA	y
Brian Burgoon	University of Amsterdam, Netherlands	1973	p	NA	n
Lukas Hetzer	University of Cologne, Germany	1973	p	NA	y
Christian Rauh	WZB Berlin Social Science Center, Germany	1971	p	NA	n
Lukas Hetzer	University of Cologne, Germany	1971	p	NA	y
Miklós Sebők	Hungarian Academy of Sciences, Budapest, Hungary	1971	p	NA	n
Anam Kuraishi	University of Essex, United Kingdom	1970	p	NA	n
Brenda Van Coppenolle	University of Essex, United Kingdom	1970	p	NA	y
Dominik Duell	University of Innsbruck, Austria	1970	p	NA	n
Georgios Efthyvoulou	University of Sheffield, United Kingdom	197	p	NA	n
Harry Pickard	Newcastle University, United Kingdom	197	p	NA	n
Vincenzo Bove	University of Warwick, United Kingdom	197	p	NA	n
Fernando De la Cuesta	Universidad Complutense de Madrid, Spain	1969	p	NA	y
Fernando Mendez	University of Zurich, Switzerland	1967	p	NA	y
Vasiliki Triga	Cyprus University of Technology, Cyprus	1967	p	NA	n
Jørgen Møller	Aarhus University, Denmark	196	p	NA	n
Svend-Erik Skaaning	Aarhus University, Denmark	196	p	NA	y
Charles Cameron	Princeton, USA	1959	p	NA	n
Jonathan Kastellec	Princeton University, USA	1959	p	NA	y
Rohnin Randles	Princeton, USA	1959	p	NA	n
Sharif Amlani	University of California, Davis, USA	1955	p	NA	n
Spencer Kiesel	University of California, Davis, USA	1955	p	NA	y
Timea Balogh	University of California, Davis, USA	1955	p	NA	y
Ellen Lust	University of Gothenburg, Sweden	1953	p	NA	y
Lindsay Benstead	Portland State University, USA	1953	p	NA	n
Pauliina Patana	Georgetown University, USA	1950	p	NA	y
Shuting Ling	University of Zurich, Switzerland	1949	p	NA	y
Kristen Kao	University of Gothenburg, Sweden	1944	p	NA	y
Attila Balla	Central European University, Austria	1941	p	NA	y
Ana Isabel Lopez Garcia	Maastricht University, Netherlands	1940	p	NA	n
Barry Maydom	Birkbeck College, University of London, United Kingdom	1940	p	NA	y
Daniel Stegmueller	Duke University, USA	1938	p	NA	n
Michael Becher	IE University, Spain	1938	p	NA	y
Charles Finocchiaro	University of Oklahoma, USA	1935	p	NA	y
Sandra Leon	University Carlos III- IC3JM, Spain	1933	p	NA	y
Ashrakat Elshehawy	University of Oxford, United Kingdom	1932	p	NA	y
Federico Nanni	Alan Turing Institute, United Kingdom	1932	p	NA	n
Ines Rehbein	University of Mannheim, Germany	1932	p	NA	n
Nikolay Marinov	University of Houston, USA	1932	p	NA	n
Christian Bjørnskov	Aarhus University, Denmark	193	p	NA	n
Lasse Aaskoven	University of Southern Denmark, Denmark	193	p	NA	y
AMUITZ GARMENDIA-MADARIAGA	Carlos III-Juan March Institute and Department of Social Sciences, Carlos III University, Spain	1927	p	NA	y
SANDRA LEON ALFONSO	Carlos III-Juan March Institute and Department of Social Sciences, Carlos III University, Spain	1927	p	NA	y
Martin Macias	University of Michigan, USA	1924	p	NA	y
Stephanie Gast Zepeda	Willy Brandt School of Public Policy, University of Erfurt, Germany	1923	p	NA	y
Benjamin Egerod	Copenhagen Business School, Denmark	1922	p	NA	n
Tom Paskhalis	Trinity College Dublin, Ireland	1922	p	NA	y
Catherine Eunice De Vries	Bocconi University, Italy	1921	p	NA	y
Charlotte Cavaille	University of Michigan, USA	1921	p	NA	n
Lisanne de Blok	Utrecht University, Netherlands	1921	p	NA	n
Cassilde Schwartz	Royal Holloway, University of London, United Kingdom	1916	p	NA	y
David Doyle	University of Oxford, United Kingdom	1916	p	NA	n
Nestor Castaneda	University College London, United Kingdom	1916	p	NA	n
Anthony McGann	University of Strathclyde, United Kingdom	1915	p	NA	y
Sebastian Dellepiane-Avellaneda	University of Strathclyde, United Kingdom	1915	p	NA	n
Micaela Grossmann	University of Bamberg, Germany	1914	p	NA	y
Iván Tubío Sanlés	University of Oxford, United Kingdom	1913	p	NA	y
Brittnee Carter	University of Kansas, USA	191	p	NA	y
Mariya Omelicheva	National Defense University, USA	191	p	NA	n
Thomas Gschwend	University of Mannheim, Germany	1906	p	NA	n
Michal Gulczynski	Bocconi University, Italy	1904	p	NA	y
Hoju Cheong	University of California, Riverside, USA	1903	p	NA	y
Valentin Berger	University of Bamberg, Germany	1901	p	NA	y
Juan Masullo	Leiden University, Netherlands	1900	p	NA	n
Simone Cremaschi	Bocconi University, Italy	1900	p	NA	y
Kadri Kaan Renda	Hacettepe University, Turkey	190	p	NA	y
Iakovos Makropoulos	University of Strathclyde & University of Essex, United Kingdom	1898	p	NA	y
Jordi Mas	Universitat Oberta de Catalunya, Spain	1897	p	NA	y
Marc Guinjoan	Universitat Oberta de Catalunya, Spain	1897	p	NA	y
Andrew Eggers	University of Chicago, USA	1896	p	NA	y
Dan Rubenson	Toronto Metropolitan University, Canada	1896	p	NA	n
Zikai Li	University of Chicago, USA	1896	p	NA	n
James Hollyer	University of Minnesota, USA	1893	p	NA	y
Marko Klasnja	Georgetown University, USA	1893	p	NA	n
Rocio Titiunik	Princeton University, USA	1893	p	NA	n
Andrew Eggers	University of Chicago, USA	1892	p	NA	y
Marko Klasnja	Georgetown University, USA	1892	p	NA	n
Rachel Bernhard	University of Oxford, United Kingdom	1892	p	NA	y
Asli Ceren Cinar	LSE, United Kingdom	1890	p	NA	y
Stephen Bagwell	University of Missouri--St Louis, USA	189	p	NA	y
Magnus Rasmussen	University of South Eastern Norway, Norway	1888	p	NA	n
Sam Van Noort	Princeton University, USA	1888	p	NA	n
Tore Wig	University of Oslo, Norway	1888	p	NA	y
Paul Vierus	University of Duisburg-Essen, Germany	1887	p	NA	y
Carl Müller-Crepon	London School of Economics and Political Science, United Kingdom	1882	p	NA	n
Lars-Erik Cederman	ETH Zurich, Switzerland	1882	p	NA	n
Luc Girardin	ETH Zurich, Switzerland	1882	p	NA	n
Yannick Pengl	ETH Zurich, Switzerland	1882	p	NA	y
Alejandro Plaza-Reveco	Humboldt Universitat zu Berlin, Germany	1881	p	NA	y
Emiel Awad	Princeton University, USA	1879	p	NA	n
Lawrence Rothenberg	University of Rochester, USA	1879	p	NA	y
Varun Karekurve	Stanford, USA	1879	p	NA	n
Alba Huidobro	Stanford University, USA	1878	p	NA	y
Nerea Gándara-Guerra	European University Institute, Italy	1878	p	NA	y
Andreas Wiedemann	Princeton University, USA	1875	p	NA	n
Hanno Hilbig	Princeton University, USA	1875	p	NA	y
Sergio Galaz	CIDE - Centro de Investigación y Docencia Económicas, Mexico	1874	p	NA	y
Ittai Bar-Siman-Tov	Bar Ilan University, Israel	1873	p	NA	n
Olivier Rozenberg	Sciences Po Paris, France	1873	p	NA	n
Thomas Saalfeld	University of Bamberg, Germany	1873	p	NA	y
Jeffrey Chwieroth	London School of Economics and Political Science, United Kingdom	1872	p	NA	n
Achim Kemmerling	Willy Brandt School of Public Policy, University of Erfurt, Germany	1870	p	NA	n
Stephanie Gast Zepeda	Willy Brandt School of Public Policy, University of Erfurt, Germany	1870	p	NA	y
Mads Dagnis Jensen	Copenhagen Business School, Denmark	1869	p	NA	y
Suen Wang	Aalborg University, Denmark	1869	p	NA	y
Cantay Caliskan	University of Rochester, USA	1866	p	NA	y
Ezgi Siir Kibris	University of Rochester, USA	1866	p	NA	n
Christina Toenshoff	Stanford University, USA	1864	p	NA	y
Marie-Lou Sohnius	Nuffield College, University of Oxford, United Kingdom	1854	p	NA	y
Beatrice Montano	Columbia University, USA	1853	p	NA	y
Melike Ayşe Kocacık-Şenol	Sabancı University, Turkey	1852	p	NA	y
Dongjin Kwak	Korea University, Korea, Republic of	185	p	NA	n
Myunghee Lee	University of Copenhagen, Denmark	185	p	NA	y
Emmy Lindstam	IE University, Spain	1849	p	NA	y
Lucio Baccaro	Max Planck Institute for the Study of Societies, Germany	1848	p	NA	n
Ria Ivandic	University of Oxford, United Kingdom	1847	p	NA	y
Jun Sudduth	University of Strathclyde, United Kingdom	1846	p	NA	y
Muhammad Asali	ISET, International School of Economics (at Tbilisi State University), Georgia	1845	p	NA	n
Simonas Spurga	Vilnius University, Lithuania	1845	p	NA	n
Vytautas Kuokštis	Vilnius University, Lithuania	1845	p	NA	y
Maarja Lühiste	Newcastle University, United Kingdom	1843	p	NA	y
Zachary Greene	University of Strathclyde, United Kingdom	1843	p	NA	n
Elsa Voytas	IE University, Spain	1841	p	NA	y
Ala' Alrababa'h	ETH Zurich, Switzerland	1840	p	NA	n
Daniel Masterson	UC Santa Barbara, USA	1840	p	NA	y
Jeremy Weinstein	Stanford University, USA	1840	p	NA	n
Gary Hollibaugh	University of Pittsburgh, USA	184	p	NA	y
Evan Perkoski	University of Connecticut, USA	1833	p	NA	y
Gregory Eady	University of Copenhagen, Denmark	1831	p	NA	y
David Presberger	ETH Zürich, Switzerland	1830	p	NA	y
David M. Grundmanns	University of Mannheim, Germany	1829	p	NA	y
Byeonggeun(Kun) Heo	New York University, USA	1828	p	NA	n
Andrew Coe	Vanderbilt University, USA	1827	p	NA	y
Taylor Dalton	Santa Clara University, USA	1827	p	NA	n
Stefanie Reher	University of Strathclyde, United Kingdom	1825	p	NA	y
Sergio Galaz	CIDE - Centro de Investigación y Docencia Económicas, Mexico	1823	p	NA	y
Jan Pollex	Osnabrück University, Germany	1822	p	NA	n
Martin Weinrich	Osnabrück University, Germany	1822	p	NA	y
Daniel Hagemann	Heinrich Heine Universität Düsseldorf, Germany	1821	p	NA	y
Felix Schmidt	GESIS, Germany	1821	p	NA	y
David Cingranelli	Binghamton University, USA	1820	p	NA	n
Rod Abouharb	University College London, United Kingdom	1820	p	NA	y
Markus Wagner	University of Vienna, Austria	1818	p	NA	y
Jose Maycas	University Carlos III of Madrid, Spain	1815	p	NA	y
Alsena Kokalari	EUI, Italy	1812	p	NA	y
Argyrios Altipalmakis	EUI, Italy	1812	p	NA	n
Ersagun Kocabaş	Sabancı University, Turkey	1810	p	NA	y
Florian Erlbruch	University of Oldenburg, Germany	1809	p	NA	n
Raanan Sulitzeanu-Kenan	Hebrew University, Israel	1809	p	NA	n
Julian Christensen	VIVE, Denmark	1807	p	NA	n
Lene Aarøe	Aarhus University, Denmark	1807	p	NA	y
Sebastian Hemesath	University of Oldenburg, Germany	1806	p	NA	n
Ugur Ozdemir	University of Edinburgh, United Kingdom	1804	p	NA	y
Corinna Oschatz	University of Amsterdam, Netherlands	1802	p	NA	n
Sebastian Stier	GESIS, Germany	1802	p	NA	n
Marta Antonetti	University of Oxford, United Kingdom	180	p	NA	y
Michele Fenzl	University of Zurich, Switzerland	1799	p	NA	y
Verena Kunz	University of Mannheim & GESIS - Leibniz Institute for the Social Sciences, Germany	1797	p	NA	y
Hannah Frank	Trinity College Dublin, Ireland	1796	p	NA	y
Thomas Chadefaux	Trinity College Dublin, Ireland	1796	p	NA	n
Jacob Montgomery	Washington University in St. Louis, USA. Washington University in Saint Louis, USA. Wasington University in Saint Louis, USA	1793	p	NA	y
Alexa Federice	University of California, Davis, USA	1792	p	NA	y
Ivan Fomichev	European University Institute, Italy	1791	p	NA	y
Noah Buckley	Trinity College Dublin, Ireland	1789	p	NA	y
Alexandra Jabbour	University of Montreal, Canada	1788	p	NA	y
Caroline Le Pennec	HEC Montreal, Canada	1788	p	NA	n
Lennart Schulze	European University Institute, Italy	1787	p	NA	n
Leo Ahrens	Free University of Berlin, Germany	1786	p	NA	y
Frank Bandau	University of Bamberg, Germany	1785	p	NA	n
Leo Ahrens	Free University of Berlin, Germany	1785	p	NA	y
Christine Stedtnitz	LSE, United Kingdom	1783	p	NA	n
Michele Fenzl	University of Zurich, Switzerland	1783	p	NA	y
Alex Hirsch	Caltech, USA	1782	p	NA	n
Ken Shotts	Stanford GSB, USA	1782	p	NA	y
Brett Benson	Vanderbilt University, USA	1781	p	NA	n
Adriane Fresh	Duke University, USA	178	p	NA	y
Alexandra Blackman	Cornell University, USA	1779	p	NA	y
Aytug Sasmaz	Bryn Mawr College, USA	1779	p	NA	n
Julia Clark	World Bank, USA	1779	p	NA	n
Fabrizio Gilardi	University of Zurich, Switzerland	1778	p	NA	y
Karsten Donnay	University of Zurich, Switzerland	1778	p	NA	y
Natalia Umansky	University of Zurich, Switzerland	1778	p	NA	y
Matthew Singer	University of Connecticut, USA	1775	p	NA	y
Nina Wiesehomeier	IE University, Spain	1775	p	NA	y
Saskia Ruth-Lovell	Radboud, Netherlands	1775	p	NA	n
Elizabeth Saunders	Georgetown University, USA	1774	p	NA	y
Alexander Horn	Universität Konstanz, Germany	1772	p	NA	n
Simon Rittershaus	Universität Konstanz, Germany	1772	p	NA	y
David Howell	Comparative Study of Electoral Systems (CSES), USA	1771	p	NA	y
John Körtner	University of Lausanne, Switzerland	1767	p	NA	y
Oguzhan Alkan	University of Texas at Austin, USA	1766	p	NA	n
Zeynep Somer-Topcu	University of Texas at Austin, USA	1766	p	NA	y
Michaël Aklin	University of Pittsburgh, USA	1765	p	NA	n
Valentina Gonzalez-Rostani	University of Pittsburgh, USA	1765	p	NA	n
Viktoriia Semenova	University of Mannheim, Germany	1763	p	NA	y
Martin Søyland	University of Oslo, Norway	176	p	NA	y
Solveig Bjørkholt	University of Oslo, Norway	176	p	NA	n
Lennart Klein	University of Tübingen, Germany	1759	p	NA	y
Rita Lang	University of Tübingen, Germany	1759	p	NA	y
Anna-Lena Hönig	University of Konstanz, Germany	1758	p	NA	n
Katrin Paula	Technical University of Munich, Germany	1758	p	NA	y
Ali Kagalwala	Texas A&M University, USA	1755	p	NA	n
Guy Whitten	Texas A&M University, USA	1755	p	NA	n
Thiago M Q Moreira	Texas A&M University, USA	1755	p	NA	y
Danilo Serani	Universidad de Salamanca, Spain	1754	p	NA	y
Mariano Torcal	Universitat Pompeu Fabra, Spain	1754	p	NA	n
Moritz Emanuel Bondeli	Yale University, USA	1750	p	NA	y
Alexander Theodoridis	University of Massachusetts Amherst, USA	1749	p	NA	n
Geoffrey Sheagley	University of Georgia, USA	1749	p	NA	n
John Henderson	Independent Scholar, USA	1749	p	NA	n
Kimberly Twist	San Diego State University, USA	1749	p	NA	y
Logan Dancey	Wesleyan University, USA	1749	p	NA	n
Stephen Goggin	San Diego State University, USA	1749	p	NA	y
Andreu Arenas	University of Barcelona, Spain	1745	p	NA	y
Kristian S. Gleditsch	University of Essex, United Kingdom	1744	p	NA	n
Sebastian Ziaja	GESIS -- Leibniz Institute for the Social Sciences, Germany	1744	p	NA	y
Romain Lachat	SciencesPo Paris, France	1743	p	NA	y
Hector Bahamonde	University of Turku, Finland	174	p	NA	y
Outi Sarpila	University of Turku, Finland	174	p	NA	n
Guillermo Rosas	Washington University in St. Louis, USA	1738	p	NA	y
Sebastián Lavezzolo	Carlos III University of Madrid, Spain	1738	p	NA	y
Victoria Paniagua	London School of Economics and Political Science, United Kingdom	1738	p	NA	n
Álvaro Laparra	Weber State University, USA	1738	p	NA	n
Luciana Cingolani	Hertie School, Germany	1735	p	NA	y
Aidas Masiliunas	The University of Sheffield, United Kingdom	1734	p	NA	n
Carolina Moehlecke	Fundação Getúlio Vargas, Brazil	1733	p	NA	n
Iasmin Goes	Colorado State University, USA	1733	p	NA	y
Chris Claassen	University of Glasgow, United Kingdom	1732	p	NA	n
Christopher Carman	University of Glasgow, United Kingdom	1732	p	NA	n
Lawrence McKay	University of Southampton, United Kingdom	1732	p	NA	y
Petar Bankov	University of Glasgow, United Kingdom	1732	p	NA	n
Will Jennings	University of Southampton, United Kingdom	1732	p	NA	n
Mariana Borges Martins da Silva	University of Oxford, United Kingdom	1731	p	NA	y
Martin Weinrich	Osnabrück University, Germany	1730	p	NA	y
Bernat Puertas	Universitat Pompeu Fabra, Spain	173	p	NA	y
Noyonika Das	University of Amsterdam, Netherlands	1728	p	NA	y
Amuitz Garmendia Madariaga	Universidad Carlos III de Madrid, Spain	1727	p	NA	y
José Ariza de la Cruz	Universidad Complutense de Madrid, Spain	1727	p	NA	n
Pedro Riera Sagrera	Universidad Carlos III de Madrid, Spain	1727	p	NA	y
David Caldwell	Durham University, United Kingdom	1722	p	NA	n
Gidon Cohen	Durham University, United Kingdom	1722	p	NA	n
Nick Vivyan	Durham University, United Kingdom	1722	p	NA	y
Christopher Carter	University of Virginia, USA	1720	p	NA	n
Miaofang Guan	King's College London, United Kingdom	172	p	NA	y
Arjan Schakel	University of Bergen, Norway	1719	p	NA	n
Berkay Alica	University of Bergen, Norway	1719	p	NA	y
Frank Schweitzer	ETH Zurich, Switzerland	1718	p	NA	n
Laurence Brandenberger	ETH Zurich, Switzerland	1718	p	NA	n
Sophia Schlosser	ETH Zurich, Switzerland	1718	p	NA	y
Stine Hesstvedt	Institute for Social Research, Oslo, Norway	1713	p	NA	y
Alexander Verdoes	University of Bergen, Norway	1711	p	NA	y
Arjan Schakel	University of Bergen, Norway	1711	p	NA	n
Klaudia Koxha	University of Salzburg, Austria	1707	p	NA	y
Maxine Leis	Department of Peace and Conflict Research, Uppsala University, Sweden	1706	p	NA	y
Honorata Mazepus	Leiden University, Netherlands	1705	p	NA	y
Johannes Lindvall	University of Gothenburg, Sweden	1703	p	NA	n
Valeriya Mechkova	University of Gothenburg, Sweden	1703	p	NA	n
Øyvind Søraas Skorge	Oslo New University College, Norway	1703	p	NA	y
Otlan Yana	UCL, United Kingdom	1701	p	NA	y
Rumyantseva Alexandra	University of Bremen, Germany	1701	p	NA	y
Arjan Schakel	University of Bergen, Norway	1700	p	NA	n
Berkay Alica	University of Bergen, Norway	1700	p	NA	y
Heather Penatzer	Princeton University, USA	1699	p	NA	y
Camille Gélix	Sciences Po Paris, France	1697	p	NA	y
Philippe Chassé	Université de Montréal and Sciences Po Paris, Canada	1697	p	NA	y
Benjamin Guinaudeau	University of Konstanz, Germany	1696	p	NA	y
André Blais	Université de Montréal, Canada	1694	p	NA	n
Maxime Coulombe	Université de Montréal, Canada	1694	p	NA	y
Sofia Marini	University of Vienna, Austria	1693	p	NA	y
Goran Glavaš	University of Würzburg, Germany	1691	p	NA	n
Henry Pascoe	IE University, Spain	1690	p	NA	y
Andrea Cassani	University of Milan, Italy	1689	p	NA	n
Eugenio Salvati	University of Pavia, Italy	1689	p	NA	n
Pamela Pansardi	University of Pavia, Italy	1689	p	NA	y
Adam Ramey	New York University - Abu Dhabi, UAE	1688	p	NA	y
Gary Hollibaugh	University of Pittsburgh, USA	1688	p	NA	y
Jonathan Klingler	University of Mississippi, USA	1688	p	NA	y
Scott Williamson	Bocconi University, Italy	1687	p	NA	y
Matilde Tofte Thorsen	Aarhus University, Denmark	1685	p	NA	y
Vilde Lunnan Djuve	University of Oslo, Norway	1685	p	NA	y
Scott Williamson	Bocconi University, Italy	1684	p	NA	y
Laurence Brandenberger	ETH Zurich, Switzerland	1683	p	NA	y
Luis Salamanca	Swiss Data Science Center, Switzerland	1683	p	NA	n
Sophia Schlosser	ETH Zurich, Switzerland	1683	p	NA	n
Daniel Karell	Yale University, USA	1680	p	NA	n
Rabia Malik	University of Essex, United Kingdom	1680	p	NA	y
Syed Kasim Najam Shah	Independent researcher, Pakistan	1680	p	NA	n
Målfrid Braut-Hegghammer	University of Oslo, Norway	1679	p	NA	n
Vilde Lunnan Djuve	University of Oslo, Norway	1679	p	NA	y
Amuitz Garmendia Madariaga	Universidad Carlos III de Madrid, Spain	1678	p	NA	y
Sandra León	Universidad Carlos III de Madrid, Spain	1678	p	NA	y
Benjamin Guinaudeau	University of Konstanz, Germany	1677	p	NA	y
Simon Roth	University of Konstanz, Germany	1677	p	NA	n
Konstantinos Matakos	King's College London, United Kingdom	1675	p	NA	n
Nikitas Konstantinidis	IE University, Spain	1675	p	NA	y
Iaara Asaf	University of Haifa, Israel	1673	p	NA	n
Liran Harsgor	University of Haifa, Israel	1673	p	NA	y
Michael Freedman	University of Haifa, Israel	1673	p	NA	n
Allison Koh	Hertie School, Germany	1671	p	NA	y
Bernhard Reinsberg	University of Glasgow, United Kingdom	167	p	NA	y
Rod Abouharb	University College London, United Kingdom	167	p	NA	y
Benjamin Neudorfer	Independent, United Kingdom	1669	p	NA	n
Natascha Neudorfer	University of Birmingham, United Kingdom	1669	p	NA	y
Annie Watson	Middle Georgia State University, USA	1668	p	NA	y
Svanhildur Thorvaldsdottir	University of Iceland, Iceland	1659	p	NA	y
Marta Fraile	IPP (CSIC), Spain	1658	p	NA	n
Nerea Gandara	EUI, Italy	1658	p	NA	y
Paula Zuluaga	UAB, Spain	1658	p	NA	y
Alexandra Cirone	Cornell University, USA	1657	p	NA	y
Daniel Smith	Columbia University, USA	1657	p	NA	n
Dawn Teele	Johns Hopkins University, USA	1657	p	NA	n
Gary Cox	Stanford University, USA	1657	p	NA	n
Jon Fiva	BI Norwegian Business School, Norway	1657	p	NA	n
Valentin Daur	LMU München, Denmark	1656	p	NA	y
Thomas Schober	University of Strathclyde, United Kingdom	1654	p	NA	n
Zachary Greene	University of Strathclyde, United Kingdom	1654	p	NA	y
Chitra Pratap	National University of Singapore, Singapore	1650	p	NA	y
Chengli Wang	University of Macau, Macao	165	p	NA	y
Huiquan Zhang	University of Macau, Macao	165	p	NA	y
Licheng Qian	University of Macau, Macao	165	p	NA	y
Meng U Ieong	University of Macau, Macao	165	p	NA	y
Jan Zilinsky	Technical University of Munich, Germany	1647	p	NA	y
Benjamin Guinaudeau	University of Konstanz, Germany	1644	p	NA	n
Claes de Vreese	University of Amsterdam, Netherlands	1644	p	NA	n
Natali Helberger	University of Amsterdam, Netherlands	1644	p	NA	n
Tom Dobber	University of Amsterdam, Netherlands	1644	p	NA	n
Thomas Schober	University of Strathclyde, United Kingdom	1640	p	NA	y
Jean-François Daoust	Université de Sherbrooke, Canada	1639	p	NA	n
Miroslav Nemčok	University of Oslo, Norway	1639	p	NA	y
Piret Ehin	University of Tartu, Estonia	1639	p	NA	n
Andrew Lugg	University of Nevada, USA	1638	p	NA	n
Kirthana Ganeson	University of Bern, Switzerland	1638	p	NA	y
Manfred Elsig	University of Bern, Switzerland	1638	p	NA	n
Marine Roux	University of Bern, Switzerland	1638	p	NA	n
Valentina Nerino	University of Trento, Italy	1636	p	NA	y
Alexandra Hartman	University College London, United Kingdom	1634	p	NA	y
Rodrigo Sanchez Sienra	ETH-Zurich, Switzerland	1634	p	NA	n
Janine Joachim	Technical University Dresden / Forum MIDEM, Germany	1631	p	NA	y
Sergio Ascencio	University of Essex, United Kingdom	1630	p	NA	y
Daniel Devine	University of Oxford, United Kingdom	1629	p	NA	n
Jessica Smith	University of Edinburgh, United Kingdom	1629	p	NA	y
Eda Keremoglu	University of Konstanz, Germany	1628	p	NA	n
Janina Beiser-McGrath	Royal Holloway, University of London, United Kingdom	1628	p	NA	y
Ali Kagalwala	Texas A&M University, USA	1625	p	NA	n
Guy Whitten	Texas A&M University, USA	1625	p	NA	y
Leon Kockaya	Texas A&M University, USA	1625	p	NA	n
Munroe Kim	New York University, USA	1625	p	NA	n
Alina Greiner	University of Konstanz, Germany	1624	p	NA	y
Daniel Kammer	University of Konstanz, Germany	1624	p	NA	y
Brian Phillips	University of Essex, United Kingdom	1623	p	NA	n
Ismene Gizelis	University of Essex, United Kingdom	1623	p	NA	n
Sara Polo	University of Essex, United Kingdom	1623	p	NA	y
Anat Perry	The Hebrew University of Jerusalem, Israel	1622	p	NA	n
Eran Halperin	The Hebrew University of Jerusalem, Israel	1622	p	NA	n
Nur Kassem	The Hebrew University of Jerusalem, Israel	1622	p	NA	y
Lotem Halevy	University of Pennsylvania, USA	1620	p	NA	y
Solveig Bjørkholt	University of Oslo, Norway	162	p	NA	y
Rebeca Gonzalez Antuña	European University Institute, Italy	1617	p	NA	y
Leon David Küstermann	European University Institute, Italy	1616	p	NA	y
Mirko Wegemann	European University Institute, Italy	1616	p	NA	y
Valentin Pautonnier	Université de Montréal, Canada	1615	p	NA	y
Shiqi Ma	Cornell University, USA	1614	p	NA	y
Sean Kates	University of Pennsylvania, USA	1613	p	NA	n
Arno Van Hootegem	University of Oslo, Norway	1612	p	NA	n
Miroslav Nemčok	University of Oslo, Norway	1612	p	NA	y
Staffan Kumlin	University of Oslo, Norway	1612	p	NA	n
Katerina Michalaki	University of London, United Kingdom	1611	p	NA	n
Manos Tsakiris	Royal Holloway, United Kingdom	1611	p	NA	n
Fabian Bergmann	University of Konstanz, Germany	1610	p	NA	y
Sandra Penic	University of Geneva, Switzerland	1608	p	NA	n
Kerim Can Kavakli	Bocconi University, Italy	1607	p	NA	n
