author	affiliation	abstract_id
Thomas Scotto	University of Glasgow, United Kingdom	1128
Miklós Sebők	Hungarian Academy of Sciences, Budapest, Hungary	1971
Marie Heldgaard Seestedt	Department of Political Science, University of Copenhagen, Denmark	1000
Brigitte Seim	UNC Chapel Hill, USA	921
Armin Seimel	University of Glasgow, United Kingdom	1016
Galina Selivanova	University of Bonn, Germany	641
Emily Sellars	Yale University, USA	1501
Viktoriia Semenova	University of Mannheim, Germany	1763
Roman Senninger	Aarhus University, Denmark	1314
Danilo Serani	Universidad de Salamanca, Spain	1754
Nina Serdarevic	Norwegian Tax Authority, Norway	1537
Magalí Serra Duran	European University Institute, Italy	1478
Ken Shadlen	London School of Economics and Political Science, United Kingdom	215
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Sophia Schlosser	ETH Zurich, Switzerland	1683
Sophia Schlosser	ETH Zurich, Switzerland	1718
André Schmale	Bergische Universität Wuppertal, Germany	1514
Jonas Schmid	University of Oslo, Norway	485
Jonas Willibald Schmid	University of Oslo, Norway	566
Jonas Willibald Schmid	University of Oslo, Norway	1196
Jonas Willibald Schmid	University of Oslo, Norway	982
Lukas Schmid	University of Lucerne, Switzerland	1197
Samuel D. Schmid	University of Lucerne, Switzerland	1059
Felix Schmidt	GESIS, Germany	1821
Alexander Schmidt-Catran	Goethe University Frankfurt, Germany	1409
Kai-Uwe Schnapp	Universität Hamburg, Germany	428
Christina Schneider	UCSD, USA	2040
Thomas Schober	University of Strathclyde, United Kingdom	1654
Thomas Schober	University of Strathclyde, United Kingdom	1640
Magnus Schoeller	University of Vienna, Austria	713
Harald Schoen	University of Mannheim, Germany	1552
Mareike Schomerus	Busara Center for Behavioral Economics, Kenya	1398
Nanna Lauritz Schönhage	Universität Konstanz, Germany	211
Julia Schulte-Cloos	Robert Schuman Center for Advanced Studies, European University Institute, Italy	1198
Julia Schulte-Cloos	Robert Schuman Center for Advanced Studies, European University Institute, Italy	1314
Lennart Schulze	European University Institute, Italy	1787
Lennart Schürmann	University of Cologne, Germany	979
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Carlos Sanz	Bank of Spain, Spain	1017
Outi Sarpila	University of Turku, Finland	174
Rodolfo Sarsfield	UAQ, Mexico	1009
Aytug Sasmaz	Bryn Mawr College, USA	1779
Yuko Sato	University of Gothenburg, Sweden	451
Yuko Sato	University of Gothenburg, Sweden	424
Thomas Sattler	University of Geneva, Switzerland	579
Thomas Sattler	University of Geneva, Switzerland	734
Elizabeth Saunders	Georgetown University, USA	1774
Elizabeth Saunders	Georgetown University, USA	604
Melanie Sauter	University of Oslo, Norway	547
Burcu Savun	University of Pittsburgh, USA	865
Alexandra Scacco	WZB Berlin Social Science Center, Germany	1541
Jerome Schafer	LMU Munich, Germany	828
Florian Schaffner	University of Zurich, Switzerland	106
Florian Schaffner	University of Zurich, Switzerland	1244
Arjan Schakel	University of Bergen, Norway	1700
Arjan Schakel	University of Bergen, Norway	1719
Arjan Schakel	University of Bergen, Norway	1711
Max Schaub	University of Hamburg, Germany	344
Max Schaub	University of Hamburg, Germany	844
Max Schaub	University of Hamburg, Germany	296
Mark Schelker	University of Fribourg, Switzerland	1197
Marina Schenkel	Trinity College Dublin, Ireland	1070
Alain Schläpfer	Stanford University, USA	862
Petra Schleiter	University of Oxford, United Kingdom	1413
Marcel Schlepper	ifo Institute and LMU Munich, Germany	355
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Almira Sadykova-DuMond	Binghamton University, USA	1220
Troy Saghaug Broderstad	UiT - The Arctic University of Norway, Norway	1537
Jo Saglie	Institute for Social Research Oslo, Norway	902
Inga Saikkonen	Åbo Akademi University, Finland	1416
Luis Salamanca	Swiss Data Science Center, Switzerland	1683
Mohamed Saleh	London School of Economics and Political Science, United Kingdom	753
Paulina Salek-Lipcean	University of Bergen, Norway	1058
Paulina Sałek-Lipcean	University College London, United Kingdom	1473
Eugenio Salvati	University of Pavia, Italy	1689
Hannes Salzmann	CRC 1342, University of Bremen, Germany	781
Fernando J Sánchez Monforte	Nuffield College, United Kingdom	899
Rosa Sanchez Salgado	University of Amsterdam, Netherlands	1260
Rodrigo Sanchez Sienra	ETH-Zurich, Switzerland	1634
Linn Sandberg	University of Bergen, Norway	1106
Andrew Sanders	University of Derby, United Kingdom	252
Dani Sandu	Chemnitz University of Technology, Germany	1048
Alan Sanfey	Donders Institute at Radboud University, Netherlands	1194
Constanza Sanhueza Petrarca	Australian National University, Australia	1158
Constanza Sanhueza Petrarca	Australian National University, Australia	530
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Olivier Rozenberg	Sciences Po Paris, France	1873
Dan Rubenson	Toronto Metropolitan University, Canada	1896
Ida Rudolfsen	PRIO, Norway	1428
Lukas Rudolph	LMU Munich, Germany	1462
Nita Rudra	Georgetown University, USA	1019
David Rueda	University of Oxford, United Kingdom	1299
Stefanie Ruess	University of Konstanz, Germany	993
Constantin Ruhe	Goethe University Frankfurt, Germany	2035
Isabel Ruiz	University of Oxford, United Kingdom	1353
Nelson A Ruiz	University of Essex, United Kingdom	2042
Rubén Ruiz-Rufino	King's College London, United Kingdom	603
Sophie Ruprecht	University of Bern, Institute of Political Science, Switzerland	640
Luana Russo	Maastricht University, Netherlands	789
Luís Russo	European University Institute, Italy	1521
Saskia Ruth-Lovell	Radboud, Netherlands	1775
Timothy Ryan	UNC Chapel Hill, USA	241
Thomas Saalfeld	University of Bamberg, Germany	1873
Angel Saavedra	Bowdoin College, USA	1982
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Lena Röllicke	WZB Berlin Social Science Center, Germany	1366
Xavier Romero-Vidal	Cambridge University, United Kingdom	1563
Nils Röper	University of Konstanz, Germany	919
Lamprini Rori	National and Kapodistrian University of Athens, Greece	426
Guillermo Rosas	Washington University in St. Louis, USA	869
Guillermo Rosas	Washington University in St. Louis, USA	1738
Martin Rosema	University of Twente, Netherlands	1194
Guri Rosén	Oslo Metropolitan University, Norway	1204
Bryn Rosenfeld	Cornell, USA	1179
Sigrid Rossteutscher	Goethe-University Frankfurt am Main, Germany	1586
Denise Roth	Vrije Universiteit Amsterdam, Netherlands	1576
Simon Roth	University of Konstanz, Germany	1677
Lawrence Rothenberg	University of Rochester, USA	1879
Costas Roumanias	Athens University of Economics and Business, Greece	426
Marine Roux	University of Bern, Switzerland	1638
Laurence Rowley-Abel	University of Edinburgh, United Kingdom	147
Joaquín Rozas	Universidad Pompeu Fabra, Spain	1436
Arturas Rozenas	New York University, USA	1534
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Leire Rincón	Universitat Autònoma de Barcelona, Spain	778
Leire Rincón	Universitat Autònoma de Barcelona, Spain	1401
Leire Rincón	Universitat Autònoma de Barcelona, Spain	1502
Nils Ringe	University of Wisconsin-Madison, USA	357
Simon Rittershaus	Universität Konstanz, Germany	1772
Oliver Rittmann	University of Mannheim, Germany	794
Oliver Rittmann	University of Mannheim, Germany	792
Mauricio Rivera	PRIO, Norway	1346
Naama Rivlin-Angert	Tel Aviv University, Israel	110
Naama Rivlin-Angert	Tel Aviv University, Israel	395
Max-Valentin Robert	University of Nottingham, United Kingdom	147
David Robertson	University of Strathclyde, United Kingdom	806
Justin Robinson	University of York, United Kingdom	971
Joshua Robison	Leiden University, Netherlands	207
Emily Robitschek	ETH Zürich, Switzerland	311
MaryClare Roche	Princeton University, USA	2030
Michael Rochlitz	University of Bremen, Germany	888
Irene Rodríguez	Universitat Pompeu Fabra, Spain	695
Irene Rodríguez	Universitat Pompeu Fabra, Spain	913
Irene Rodriguez Lopez	Pompeu Fabra University, Spain	1129
Arantxa Rodriguez-Uribe	Princeton University, USA	1029
Maiken Røed	University of Oslo, Norway	1566
Anna Rogers	University of Copenhagen, Centre for Social Data Science, Denmark	1292
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Jason Reifler	University of Exeter, United Kingdom	1552
Jason Reifler	University of Exeter, United Kingdom	1128
Andres Reiljan	University of Tartu, Estonia	1424
Andrew Reinolds	Independent scholar, USA	1153
Bernhard Reinsberg	University of Glasgow, United Kingdom	751
Bernhard Reinsberg	University of Glasgow, United Kingdom	167
Bernhard Reinsberg	University of Glasgow, United Kingdom	259
Kadri Kaan Renda	Hacettepe University, Turkey	190
Leonie Rettig	University of Mannheim, Germany	1547
Paula Rettl	Bocconi University, Italy	1975
Babak RezaeeDaryakenari	Leiden University, Netherlands	441
Susanne Rhein	ETH Zürich, Switzerland	1385
Sascha Riaz	Oxford University, United Kingdom	156
Darius Ribbe	University of Greifswald, Germany	1077
Simon Richter	Free University of Berlin, Germany	963
Hannah Ridge	University of Chicago, USA	348
Anja Rieker	University of Stuttgart, Germany	1039
Pedro Riera Sagrera	Universidad Carlos III de Madrid, Spain	1727
Anouk Rigterink	Durham University, United Kingdom	1398
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Rohnin Randles	Princeton, USA	1959
Lauri Rapeli	Åbo Akademi University, Finland	434
Milena Rapp	University of Mannheim, Germany	958
Milena Rapp	University of Mannheim, Germany	953
Ericka Rascon  Ramirez	Middlesex University, United Kingdom	1556
Mathias Rask	Aarhus University, Denmark	1266
Magnus Rasmussen	University of South Eastern Norway, Norway	1888
Magnus Bergli Rasmussen	University of South-Eastern Norway, Norway	952
Jasmin Rath	University of Cologne, Germany	694
Christian Rauh	WZB Berlin Social Science Center, Germany	1971
Shir Raviv	Tel Aviv University, Israel	1233
Shir Raviv	Tel Aviv University, Israel	132
Ari Ray	University of Geneva, Switzerland	84
David Redlawsk	University of Delaware, United Kingdom	223
Andrew Reeves	Washington University in St. Louis, USA	41
Ines Rehbein	University of Mannheim, Germany	1932
Stefanie Reher	University of Strathclyde, United Kingdom	1543
Stefanie Reher	University of Strathclyde, United Kingdom	1825
Jochen Rehmert	University of Zurich, Switzerland	1413
Jochen Rehmert	University of Zurich, Switzerland	573
Jochen Rehmert	University of Zurich, Switzerland	683
Noam Reich	NYU-AD, UAE	2009
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Francesco Barilari	Trinity College Dublin, Ireland	377
Nicola Bariletto	Bocconi University, Italy	638
Lucy Barnes	University College London, United Kingdom	1447
Miriam Barnum	Purdue University, USA	626
Ryan Barrett	Yale University, USA	526
Ittai Bar-Siman-Tov	Bar Ilan University, Israel	1873
Henrikas Bartusevičius	Peace Research Institute Oslo, Norway	368
Matthias Basedau	German Institute for Global and Area Studies, Germany	733
Ekrem Baser	New York University Abu Dhabi, UAE	534
Chitralekha Basu	University of Cologne, Germany	1146
Frederico Batista Pereira	UNCC, USA	1494
Alexander Baturo	Dublin City University, Ireland	558
Alexander Baturo	Dublin City University, Ireland	711
Paul Bauer	Mannheim Centre for European Social Research, Germany	866
Sharon Baute	University of Konstanz, Germany	1116
Berfin Baydar	Sabanci University, Turkey	1092
David H. Bearce	Texas A&M Univeristy, USA	575
Thomas Beaumont	Texas A&M University San Antonio, USA	252
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Chitra Pratap	National University of Singapore, Singapore	1650
Lauren Prather	University of California, San Diego, USA	129
Lauren Prather	University of California, San Diego, USA	128
Tyler Pratt	Yale University, United Kingdom	216
David Presberger	ETH Zürich, Switzerland	1830
Soledad Prillaman	Stanford University, USA	202
Bernat Puertas	Universitat Pompeu Fabra, Spain	173
Massimo Pulejo	New York University, USA	497
Massimo Pulejo	New York University, USA	478
Gert-Jan Put	KU Leuven, Belgium	996
Licheng Qian	University of Macau, Macao	165
Jonas S. Raaschou-Pedersen	University of Copenhagen, Centre for Social Data Science, Denmark	1292
Benjamin Radcliff	University of Notre Dame, USA	1568
Francesco Raffaelli	University of Oxford, United Kingdom	469
Francesco Raffaelli	University of Oxford, United Kingdom	480
Matthew Rains	University of Georgia, USA	376
Hannah Rajski	University of Mannheim, Germany	550
Judit Ralbovszki	Lund University, Sweden	930
Adam Ramey	New York University - Abu Dhabi, UAE	1688
Kristopher Ramsay	Princeton University, USA	2009
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Jan Pollex	Osnabrück University, Germany	1822
Sara Polo	University of Essex, United Kingdom	1623
Zoila Ponce de León	Washington and Lee University, USA	859
Amy Pond	Technical University of Munich, Germany	2007
Amy Pond	Technical University of Munich, Germany	2005
Vincent Pons	Harvard Business School, USA	1267
Sebastian Popa	Newcastle University, United Kingdom	774
Vesna Popovski	LSE, United Kingdom	598
Roni Porat	Hebrew University of Jerusalem, Israel	1410
Niklas Potrafke	ifo Institute and LMU Munich, Germany	355
Philip Potter	University of Virginia, USA	2011
Rachel Potter	University of Virginia, USA	2010
Dylan Potts	European University Institute, Italy	501
Dylan Potts	European University Institute, Italy	341
Enrique Prada	Autonomous University of Barcelona, Spain	999
Lea Pradella	Aarhus University, Denmark	1200
Sophie Prantil	King's College London, United Kingdom	1579
Neeraj Prasad	University of Amsterdam, Netherlands	708
Shubha Prasad	Hertie School, Germany	1994
Shubha Kamala Prasad	Hertie School, Germany	2048
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Brian Phillips	University of Essex, United Kingdom	1623
Jonathan Phillips	Leiden University, Netherlands	879
Joseph Phillips	University of Kent, United Kingdom	726
Layla Picard	University of Virginia, USA	2011
Harry Pickard	Newcastle University, United Kingdom	197
Mark Pickup	Simon Fraser University, Canada	2
Mark Pickup	Simon Fraser University, Canada	4
Barbara Piotrowska	King's College London, United Kingdom	453
Christian Pipal	University of Amsterdam, Netherlands	1497
Elise Pizzi	University of Iowa, USA	609
Melina Platas	New York University Abu Dhabi, UAE	584
Alejandro Plaza-Reveco	Humboldt Universitat zu Berlin, Germany	1881
Johanna Ida Plenter	Heinrich Heine University Düsseldorf, Germany	318
Carolina Plescia	University of Vienna, Austria	1378
Carolina Plescia	University of Vienna, Austria	702
Anna Pless	Goethe University Frankfurt, Germany	375
Željko Poljak	University of Antwerp, Belgium	511
Željko Poljak	University of Antwerp, Belgium	352
Jonathan Polk	Lund University, Sweden	447
Jonathan Polk	Lund University, Sweden	1204
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Rasmus T. Pedersen	Danish Center for Social Science Research (VIVE), Denmark	1018
Rasmus Tue Pedersen	The Danish Center for Social Science Research, Denmark	870
Dursun Peksen	University of Memphis, USA	1581
Miquel Pellicer	Marburg University, Germany	2022
Miquel Pellicer	Marburg University, Germany	2023
Heather Penatzer	Princeton University, USA	1699
Yannick Pengl	ETH Zurich, Switzerland	1882
Sandra Penic	University of Geneva, Switzerland	1608
Miguel Pereira	London School of Economics and Political Science, United Kingdom	70
Pedro Pablo Pérez Velasco	ETH Zurich, Switzerland	889
Evan Perkoski	University of Connecticut, USA	1833
Anat Perry	The Hebrew University of Jerusalem, Israel	1622
Michael Bang Petersen	Aarhus University, Denmark	1200
Anna Petherick	University of Oxford, United Kingdom	874
Anna Petherick	University of Oxford, United Kingdom	1205
Julieta Peveri	Ecole Normale Superieure Lyon, France	1060
John-Henry Pezzuto	University of California San Diego, USA	1410
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Achillefs Papageorgiou	University of Helsinki, Finland	434
Franz Pappi	University of Mannheim, Germany	1272
Sergi Pardos-Prado	University of Glasgow, United Kingdom	1975
Sergi Pardos-Prado	University of Glasgow, United Kingdom	294
Sergi Pardos-Prado	University of Glasgow, United Kingdom	1059
Brandon Park	Soongsil University, Korea, Republic of	1595
Jeongmin Park	Princeton University, USA	1162
Nara Park	Yonsei University, Korea, Republic of	1182
Yohan Park	University College Dublin, Ireland	2001
John Parmelee	University of North Floirda, USA	486
Julia Partheymüller	University of Vienna, Austria	1980
Henry Pascoe	IE University, Spain	1690
Tom Paskhalis	Trinity College Dublin, Ireland	1922
Pauliina Patana	Georgetown University, USA	1950
Stratos Patrikios	University of Strathclyde, United Kingdom	288
Katrin Paula	Technical University of Munich, Germany	1758
Valentin Pautonnier	Université de Montréal, Canada	1615
Nara Pavão	UFPE, Brazil	1494
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Cyrill Otteni	Technical University Dresden / Forum MIDEM, Germany	1603
Erica Owen	University of Pittsburgh, USA	2001
Ugur Ozdemir	University of Edinburgh, United Kingdom	1804
Alexander Pacek	Texas A&M University College Station, USA	1568
Simone Paci	Columbia University, USA	967
Javier Padilla	Cuny, Graduate Center, USA	823
Javier Padilla	Cuny, Graduate Center, USA	825
Giovanni Pagano	Università degli Studi Milano, Italy	801
Raluca L Pahontu	King's College London, United Kingdom	944
Christopher Paik	New York University Abu Dhabi, UAE	989
Nicola Palma	University of Bologna, Italy	845
Nicola Palma	University of Bologna, Italy	361
Nuno Palma	University of Manchester, United Kingdom	672
Tabea Palmtag	University of Zurich, Switzerland	1280
Dylan Paltra	University of Zurich, Switzerland	1489
Angelo Panaro	University of Milan, Italy	872
Victoria Paniagua	London School of Economics and Political Science, United Kingdom	1738
Pamela Pansardi	University of Pavia, Italy	1689
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Tom O'Grady	University College London, United Kingdom	944
Temi Ogunye	Nuffield College, University of Oxford, United Kingdom	438
Patrik Öhberg	University of Gothenburg, Sweden	754
Roman-Gabriel Olar	Dublin City University, Ireland	558
João Pedro Oliveira	Independent Researcher, Brazil	1494
Rasmus Ollroge	FU Berlin, Germany	514
Michael Olson	Washington University, St Louis, USA	330
Mariya Omelicheva	National Defense University, USA	191
Michal Onderco	Erasmus University Rotterdam, Netherlands	272
Yoshikuni Ono	Waseda University, Japan	357
Kim Oosterlinck	Université libre de Bruxelles, Belgium	1028
Joseph Ornstein	University of Georgia, USA	212
Juan Pablo Orrego	The University of Edinburgh, United Kingdom	1436
Lluís Orriols	University Carlos III, Spain	1563
Corinna Oschatz	University of Amsterdam, Netherlands	1802
Jennifer Oser	Ben-Gurion University, Israel	951
Moritz Osnabrügge	Durham University, United Kingdom	239
Christian Oswald	Bundeswehr University Munich, Germany	662
Christian Oswald	Bundeswehr University Munich, Germany	1297
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Quynh Nguyen	Australian National University, Australia	1227
Julie Hassing Nielsen	Lund University, Sweden	1367
Daniel Nielson	The University of Texas at Austin, USA	218
Thies Niemeier	University of Konstanz, Germany	948
Jeremias Nieminen	University of Turku, Finland	649
Amalie Nilsen	University of Oslo, Norway	1196
Amalie Nilsen	University of Oslo, Norway	1428
Eric Gabo Ekeberg Nilsen	University of Oslo, Norway	1196
Eric Gabo Ekeberg Nilsen	University of Oslo, Norway	982
Hans Noel	Georgetown University, USA	407
Clemens Nollenberger	University of Konstanz, Germany	1102
Jeffrey Nonnemacher	University of Pittsburgh, USA	612
Sean Norton	Princeton University, USA	1535
Theodoros Ntounias	UCSD, USA	2040
Felipe Nunes	UFMG, Brazil	1498
Felipe Nunes	UFMG, Brazil	1494
Matias Nunez	REST, CNRS, Ecole Polytechnique, France	586
Katelyn Nutley	University of Cologne, Germany	1569
Dominic Nyhuis	Leibniz University Hannover, Germany	1027
Dominic Nyhuis	Leibniz University Hannover, Germany	1440
Jacob Nyrup	University of Oslo, Norway	225
Jacob Nyrup	University of Oslo, Norway	1011
Cleo O’Brien Udry	Yale University, United Kingdom	216
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Taishi Muraoka	Academia Sinica, Taiwan	1289
Taishi Muraoka	Academia Sinica, Taiwan	869
Harris Mylonas	George Washington University, USA	509
Emily Naasz	Texas A&M University San Antonio, USA	252
Syed Kasim Najam Shah	Independent researcher, Pakistan	1680
Monika Nalepa	University of Chicago, USA	453
Federico Nanni	Alan Turing Institute, United Kingdom	1932
Natalya Naqvi	LSE, United Kingdom	396
Noah Nathan	MIT, USA	141
Daniel Naurin	University of Oslo, Norway	1439
Eugenia Nazrullaeva	LSE, United Kingdom	341
Oda Nedregård	BI Norwegian Business School, Norway	504
Miroslav Nemčok	University of Oslo, Norway	1612
Miroslav Nemčok	University of Oslo, Norway	1639
Valentina Nerino	University of Trento, Italy	1636
Karen Nershi	Stanford University, USA	1423
Benjamin Neudorfer	Independent, United Kingdom	1669
Natascha Neudorfer	University of Birmingham, United Kingdom	1669
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Philippe Mongrain	McGill University, Canada	348
Giuseppe Montalbano	University of Luxembourg, Luxembourg	692
Beatrice Montano	Columbia University, USA	1853
Camila N. Montero Trujillo	University of Innsbruck, Austria	572
Jacob Montgomery	Washington University in St. Louis, USA. Washington University in Saint Louis, USA. Wasington University in Saint Louis, USA	1793
Massimo Morelli	Bocconi University, Italy	1321
Lee Morgenbesser	Griffith University, Australia	415
Sandra Morgenstern	MZES, University of Mannheim, Germany	710
Marcella H. Morris	Emory University, USA	662
Thiago M Q Moreira	Texas A&M University, USA	1755
Karina Mross	German Institute of Development and Sustainability (IDOS), Germany	240
Jochen Müller	University of Greifswald, Germany	963
Carl Müller-Crepon	London School of Economics and Political Science, United Kingdom	1312
Carl Müller-Crepon	London School of Economics and Political Science, United Kingdom	1882
Felix Münchow	University of Mannheim, Germany	1552
Jordi Muñoz	University of Barcelona, Spain	721
Simon Munzert	Hertie School, Germany	1085
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Ani Baghumyan	University of Bern, Switzerland	1497
Stephen Bagwell	University of Missouri--St Louis, USA	189
Hector Bahamonde	University of Turku, Finland	174
Jack Baker	Institute of Political Science & Oeschger Centre for Climate Change Research, Universität Bern, Switzerland	941
Zsuzsa Bakk	Leiden University, Netherlands	951
RYAN BAKKER	University of Essex, United Kingdom	447
Daniel Balinhas	Universitat Autònoma de Barcelona, Spain	946
Attila Balla	Central European University, Austria	1941
Timea Balogh	University of California, Davis, USA	1955
Pamela Ban	University of California, San Diego, USA	250
Frank Bandau	University of Bamberg, Germany	1785
Petar Bankov	University of Glasgow, United Kingdom	1732
Antoine Banks	University of Maryland, USA	2
Ivo Bantel	University of Zurich, Switzerland	793
Pablo Barberá	University of Southern California, USA	1085
Joan Barcelo	New York University - Abu Dhabi, UAE	401
Joan Barceló	New York University - Abu Dhabi, UAE	1289
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Claas Mertens	University of Oxford, United Kingdom	1443
Erica Metheney	University of Gothenburg, Sweden	1177
Thomas Meyer	University of Vienna, Austria	293
Asimina Michailidou	University of Oslo, Norway	1439
Katerina Michalaki	University of London, United Kingdom	1611
Enrico Miglino	University College London, United Kingdom	46
Marta Migliorati	University of Malta, Malta	801
Carly Millerd	University of Iowa, USA	609
Helen Milner	Princeton University, USA	329
Shea Minter	Georgetown University, USA	158
Karmen Misiou	European University Institute, Italy	1504
Neil Mitchell	University College London, United Kingdom	323
Sara Mitchell	University of Iowa, USA	609
Kris Mitchener	Santa Clara University, USA	1028
Birgit Mitter	University of Salzburg, Austria	637
Birgit Mitter	University of Salzburg, Austria	643
Reto Mitteregger	University of Zurich, Switzerland	290
Mathilde Bålsrud Mjelva	Peace Research Institute Oslo (PRIO), Norway	950
Carolina Moehlecke	Fundação Getúlio Vargas, Brazil	1733
Jørgen Møller	Aarhus University, Denmark	196
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Honorata Mazepus	Leiden University, Netherlands	368
Honorata Mazepus	Leiden University, Netherlands	1705
Joshua McCrain	University of Utah, USA	1054
Nicola McEwen	University of Glasgow, United Kingdom	2050
Anthony McGann	University of Strathclyde, United Kingdom	1915
Lawrence McKay	University of Southampton, United Kingdom	1732
Rachael McLellan	University of Glasgow, United Kingdom	1235
Fraser McMillan	University of Glasgow, United Kingdom	2050
Andrew McNeil	LSE, United Kingdom	752
Valeriya Mechkova	University of Gothenburg, Sweden	1703
David Medina Rodríguez	University of Malaga, Spain	1
Marius Mehrl	University of Leeds, United Kingdom	1030
Jonathan Mellon	United States Military Academy West Point, USA	1331
Justin Melnick	New York University, USA	24
Fernando Mendez	University of Zurich, Switzerland	1967
Fernando Mendez	University of Zurich, Switzerland	1396
Irene Menendez	IE University, Spain	652
Jaakko Meriläinen	ITAM, Mexico	783
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Alejandro Martínez-Marquina	University of Southern California, USA	1460
Jordi Mas	Universitat Oberta de Catalunya, Spain	1897
Aidas Masiliunas	The University of Sheffield, United Kingdom	1734
Daniel Masterson	UC Santa Barbara, USA	1840
Juan Masullo	Leiden University, Netherlands	1900
Konstantinos Matakos	King's College London, United Kingdom	313
Konstantinos Matakos	King's College London, United Kingdom	1675
Tomoko Matsumoto	Tokyo University of Science, Japan	629
Akitaka Matsuo	University of Essex, United Kingdom	357
Robert Mattes	Strathclyde, United Kingdom	1009
Theres Matthiess	University of Trier, Germany	356
Mikko Mattila	University of Helsinki, Finland	434
Filsinger Maximilian	University of Bern, Switzerland	927
Antonia C. May	GESIS Leibniz Institute for the Social Sciences, Germany	1377
Jose Maycas	University Carlos III of Madrid, Spain	1815
Barry Maydom	Birkbeck College, University of London, United Kingdom	1940
Sabrina Mayer	University of Bamberg, Germany	1036
Sabrina Jasmin Mayer	University of Bamberg, Germany	674
Sabrina Jasmin Mayer	University of Bamberg, Germany	679
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hye Young You	New York University, USA	250
Hye Young You	New York University, USA	251
Hierro Maria José	Yale University, USA	1254
Antoine Marie	Aarhus University, Denmark	1200
Awenig Marié	Université Libre de Bruxelles, Belgium	681
Sofie Marien	KU Leuven, Belgium	789
Sofie Marien	KU Leuven, Belgium	878
Sofia Marini	University of Vienna, Austria	1693
Nikolay Marinov	University of Houston, USA	1932
Skip Mark	University of Rhode Island, USA	1220
Skip Mark	University of Rhode Island, USA	328
Jonathan Markowitz	University of Southern California, USA	1094
Jonathan Markowitz	University of Southern California, USA	626
Jeanne Marlier	University of Vienna, Austria	199
Kyle Marquardt	University of Bergen, Norway	808
David Marshall	University of Reading, United Kingdom	2037
Nicole Martin	University of Manchester, United Kingdom	1331
Nicole Martin	University of Manchester, United Kingdom	1311
Pedro Martín	European University Institute, Italy	1601
Pedro Martín	European University Institute, Italy	1420
Sergi Martínez	Princeton University, USA	507
Monica Martinez-Bravo	CEMFI, Spain	1017
Cecilia Martinez-Gallardo	University of North Carolina, USA	410
Ferran Martínez i Coma	Griffith University, Australia	8
